day,time,plot,stage,richness,plantago,vegvol,airvol,ch4,ch4day,ch4night,airtemp,soiltemp,rh,dew,subsoil,subsoilw,Radiation (W/M2),,,,radiation,,,,,,,,
7/4/23,10:00:00 AM,P1 UNC,3,9,7.286,"12,536","57,835",2.61E-09,2.74E-09,2.47E-09,11.7,6.9,80.4,8.6,0.89,1.26,313,287,301,349,312.5,,,,,,,,
7/4/23,10:00:00 AM,p2 UNC,2,11,4.65,"10,786.07",59585,5.94E-09,5.69E-09,6.18E-09,10.2,6.7,85.2,10.6,0.83,1.23,397,471,564,457,472.25,,,,,,,,
7/4/23,10:00:00 AM,p3 UNC,1,6,143.138,8168.095,64716.445,5.96E-09,5.99E-09,5.93E-09,12.2,7.4,84.9,10.6,0.23,0.93,240,248,210,246,236,,,,,,,,
7/4/23,10:00:00 AM,P4 UNC,2,9,115.136,8168.095,65973.075,3.95E-09,3.55E-09,4.34E-09,14.8,7.3,80,9.6,0.46,1.07,372,330,336,309,336.75,,,,,,,,
7/4/23,10:00:00 AM,p5 UNC,1,8,138.802,"10,053.04",62831.5,3.42E-09,4.34E-09,2.50E-09,11.4,7.1,82.6,10.5,0.98,1.3,333,730,731,1263,764.25,,,,,,,,
7/4/23,10:00:00 AM,p7 UNC,3,9,12.603,5026.52,678858,5.40E-08,1.07E-07,1.03E-09,7.9,7.3,85.4,13.2,0.23,0.83,450,442,446,455,448.25,,,,,,,,
7/6/23,10:40:00 AM,p8 UNC,1,5,154.486,9215.29,"61,156",6.32E-09,6.55E-09,6.09E-09,8.6,8.2,86.3,5.5,0.18,0.9,183,185,202,209,194.75,,,,,,,,
7/6/23,10:40:00 AM,p9 UNC,3,10,18.774,4398.21,"71,000",1.66E-07,1.75E-07,1.56E-07,7.3,7.1,88.1,6.2,0.21,0.97,302,333,348,308,322.75,,,,,,,,
7/6/23,10:40:00 AM,p10 UNC,2,3,152.607,9424.73,"65,973.07",1.39E-09,1.24E-09,1.53E-09,7.4,7.6,88.1,5.8,0.22,0.93,324,285,262,319,297.5,,,,,,,,
7/6/23,10:40:00 AM,p11 UNC,1,3,154.486,2303.82,65554.2,7.86E-09,8.31E-09,7.40E-09,8.5,8.5,89.1,7.1,0.21,0.92,182,243,228,220,218.25,,,,,,,,
7/6/23,10:40:00 AM,p14 UNC,3,16,4.133,10681.36,62203.18,5.55E-08,5.60E-08,5.49E-08,10.7,8.6,86.5,8,0.25,0.95,355,291,252,229,281.75,,,,,,,,
7/11/23,8:30:00 AM,P12 UNC,3,3,154.486,10681.36,62203.18,-5.06E-07,6.80E-08,-1.08E-06,5.4,5.5,87.2,2.7,0.1,0.85,69,109,95,78,87.75,,,,,,,,
7/11/23,8:30:00 AM,p7 UNC,3,9,12.603,3141.5,72256.3,1.10E-08,2.33E-09,1.96E-08,4.7,5.8,85,1.7,0.19,0.91,62,55,51,56,56,,,,,,,,
7/11/23,8:30:00 AM,p8 UNC,1,5,154.486,"9,215",61156,-6.88E-10,-4.22E-10,-9.53E-10,3.6,6.6,90.9,2.1,0.16,0.89,66,78,90,90,81,,,,,,,,
7/11/23,8:30:00 AM,p9 UNC,3,10,18.774,"2,722.70",67648.6,3.66E-09,1.29E-09,6.02E-09,3.8,5.3,91.9,2.6,0.23,0.93,150,154,118,98,130,,,,,,,,
7/13/23,11:14:00 AM,p12 UNC,3,3,154.486,2303.82,65554.2,9.61E-09,9.28E-09,9.94E-09,6.2,6.5,87.3,4.4,0.28,0.97,206,211,205,206,207,,,,,,,,
7/13/23,11:20:00 AM,P1 UNC,3,9,7.286,12536,57835,4.60E-09,5.27E-09,3.93E-09,6.8,5.7,87.7,4.1,0.32,0.99,309,369,292,250,305,,,,,,,,
7/13/23,11:45:00 AM,P4 UNC,2,9,115.136,8168.09,65973.075,5.78E-09,5.84E-09,5.72E-09,6,6.3,87.7,5.1,0.4,1.03,404,383,375,,387.3333333,,,,,,,,
7/13/23,11:56:00 AM,p3 UNC,1,6,143.138,8168,64176,5.67E-09,5.75E-09,5.59E-09,5.8,6.1,89,5.3,0.56,1.12,249,301,271,266,271.75,,,,,,,,
7/13/23,12:07:00 PM,p5 UNC,1,8,138.802,10053,62831.5,6.28E-09,3.71E-09,8.85E-09,6.1,6.2,88.3,4.4,0.59,0.12,306,389,458,461,403.5,,,,,,,,
7/13/23,12:35:00 PM,p9 UNC,3,10,18.774,2722.7,67648,1.60E-07,1.58E-07,1.61E-07,5.4,5.7,89.5,4.6,0.08,1.17,356,370,324,390,360,,,,,,,,
7/13/23,12:46:00 PM,p8 UNC,1,5,154.486,9215,61156,8.60E-09,8.78E-09,8.42E-09,6.3,6.1,89.6,5,0.67,1.16,312,288,283,298,295.25,,,,,,,,
7/18/23,11:30:00 AM,p7 UNC,3,9,12.603,5026.52,678858,1.27E-07,1.29E-07,1.24E-07,4.5,5,87.4,2.6,0.48,1.07,493,544,349,,462,,,,,,,,
7/18/23,11:45:00 AM,p6 UNC,2,16,24.611,2930.66,72.467,9.66E-08,1.06E-07,8.71E-08,3.7,5.7,85.8,4.4,0.59,1.12,579,618,678,530,601.25,,,,,,,,
7/18/23,12:03:00 PM,p3 UNC,1,6,143.138,8168,64176,8.85E-09,1.04E-08,7.30E-09,4.2,5.8,86.7,5.4,0.62,1.14,1132,1093,1000,457,920.5,,,,,,,,
7/20/23,3:33:00 PM,p4 UNC,2,9,115.136,8168,65973,5.96E-09,6.29E-09,5.62E-09,10.2,5.5,83.8,6.6,0.28,0.96,385,334,387,,368.6666667,,,,,,,,
7/20/23,3:44:00 PM,p2 UNC,2,11,4.65,10786,59585,7.68E-09,8.78E-09,6.58E-09,9.12,5.2,86.3,2.59,0.29,0.97,142,306,635,652,433.75,,,,,,,,
7/20/23,3:57:00 PM,P1 UNC,3,9,7.286,12536,57835,1.68E-06,3.35E-06,3.70E-09,9.6,5.2,86.7,6.4,0.44,1.05,407,512,440,263,405.5,,,,,,,,
7/20/23,4:11:00 PM,p12 UNC,3,3,154.486,2303,65554,8.63E-09,8.62E-09,8.64E-09,8.2,5,87.2,6,0.48,1.08,369,518,289,399,393.75,,,,,,,,
7/20/23,4:24:00 PM,p11 UNC,2,3,152.607,9424,70999,1.43E-09,2.29E-09,5.72E-10,7.8,5.1,87,7,0.55,1.11,337,649,840,398,556,,,,,,,,
7/20/23,4:35:00 PM,p5 UNC,1,8,138.802,10053,62831,3.93E-09,3.92E-09,3.93E-09,7,5.3,87.1,4.9,0.55,1.11,154,184,247,223,202,,,,,,,,
7/20/23,4:46:00 PM,p8 UNC,1,5,154.486,9215,61156,1.02E-08,1.01E-08,1.02E-08,6.1,5.5,88.1,4.6,0.6,1.13,106,206,358,,223.3333333,,,,,,,,
7/20/23,4:56:00 PM,p9 UNC,3,10,18.774,4398,65973,1.25E-07,1.28E-07,1.22E-07,5,4.1,89.9,4.4,0.62,1.14,198,229,232,138,199.25,,,,,,,,
7/20/23,5:11:00 PM,p6 UNC,2,16,24.611,2930,72467,9.24E-08,9.10E-08,9.38E-08,5.1,5.1,89.1,3.5,0.62,1.14,104,179,210,133,156.5,,,,,,,,
7/20/23,5:21:00 PM,p7 UNC,3,9,12.603,5026,67885,1.24E-07,1.21E-07,1.27E-07,4.7,4.9,90.1,3.3,0.63,1.13,121,198,193,63,143.75,,,,,,,,
8/25/23,10:17:00 AM,p1 UNC,3,9,7.286,12356,5785,2.59E-09,3.46E-09,1.72E-09,7.9,5.3,78.6,3.2,0.61,1.84,258,217,231,245,237.75,,,,,,,,
8/25/23,10:32:00 AM,p12 UNC,3,3,154.486,10681.36,65973,3.44E-09,3.17E-09,3.70E-09,6.7,6,87.7,4.6,0.36,1.25,467,575,601,332,493.75,,,,,,,,
8/25/23,10:45:00 AM,p2 UNC,2,11,4.65,10786.07,64716,2.55E-09,2.62E-09,2.47E-09,7.6,5.9,83.8,4.5,1.09,1.34,274,231,213,243,240.25,,,,,,,,
8/25/23,10:56:00 AM,p4 UNC,2,9,115.136,8168,62203,6.74E-10,6.90E-10,6.57E-10,6.8,6,86.4,4.7,1.05,1.32,242,241,248,301,258,,,,,,,,
8/25/23,11:08:00 AM,p3 UNC,1,6,143.138,8168,72256,2.57E-09,2.50E-09,2.63E-09,7.2,6.3,84.8,5.7,1.08,1.34,540,524,481,456,500.25,,,,,,,,
8/25/23,11:21:00 AM,p14 UNC,3,16,4.133,10681,72467,4.54E-08,1.50E-08,7.57E-08,6.9,5.2,85.2,5.9,0.98,1.3,420,460,406,300,396.5,,,,,,,,
8/25/23,11:32:00 AM,p7 UNC,3,9,12.603,3141,NaN,6.05E-09,8.79E-09,3.31E-09,5.8,5.9,87.1,3.7,0.96,1.29,99,142,131,135,126.75,,,,,,,,
8/25/23,11:40:00 AM,p6 UNC,2,16,24.611,?,NaN,6.25E-09,6.33E-09,6.16E-09,3.7,5.5,89,2.8,0.97,1.29,80,99,110,102,97.75,,,,,,,,
8/25/23,11:50:00 AM,p8 UNC,1,5,154.486,9215,NaN,1.62E-09,1.54E-09,1.70E-09,3.5,5.3,90.2,2.6,NaN,NaN,113,138,333,287,217.75,,,,,,,,
8/25/23,12:00:00 PM,p9 UNC,3,10,18.774,4398,NaN,4.38E-09,6.55E-09,2.20E-09,4.7,5.2,91.4,2.9,NaN,NaN,101,99,99,132,107.75,,,,,,,,
8/25/23,12:11:00 PM,p11 UNC,2,3,152.607,2303,NaN,1.08E-08,3.75E-10,2.13E-08,11.3,5.6,88.1,2.6,NaN,NaN,344,422,324,306,349,,,,,,,,
8/25/23,12:21:00 PM,p5 UNC,1,8,138.802,10053,NaN,5.66E-10,5.25E-10,6.07E-10,5,6.1,87.8,3.8,NaN,NaN,384,450,350,308,373,,,,,,,,
9/30/23,9:53:00 AM,p12 UNC,1,3,154.486,2303.82,65564.2,1.93E-08,1.69E-08,2.17E-08,8.9,7.5,85.6,6.3,0.22,0.8,260,238,237,231,241.5,,,,,,,,
9/30/23,10:16:00 AM,P1 UNC,3,9,7.286,12356,57835,7.34E-08,6.16E-08,8.51E-08,8.8,7.8,84,7.4,0.42,1.05,486,538,364,226,403.5,,,,,,,,
9/30/23,10:29:00 AM,p2 UNC,2,11,4.65,10786,59585,2.81E-08,2.87E-08,2.74E-08,8,7.6,85.2,7.7,0.01,0.78,421,712,314,279,431.5,,,,,,,,
9/30/23,10:41:00 AM,p3 UNC,1,6,143.138,8168,64176,4.23E-08,3.05E-08,5.41E-08,10.4,7.6,81.8,9.5,0.28,0.97,232,213,216,210,217.75,,,,,,,,
9/30/23,10:54:00 AM,p4 UNC,2,9,115.136,8168,65973,6.01E-09,6.05E-09,5.96E-09,9.6,8,87,9.2,0.26,0.95,680,392,341,527,485,,,,,,,,
9/30/23,11:05:00 AM,p5 UNC,1,8,138.802,10053,62831,3.81E-09,4.48E-09,3.14E-09,12.3,7.9,81.6,10.3,0.2,0.92,1705,1064,538,1406,1178.25,,,,,,,,
9/30/23,11:17:00 AM,p11 UNC,2,3,152.607,9424,70999,5.55E-09,1.88E-09,9.22E-09,12.4,7.1,78,11,0.24,0.94,1337,1503,1453,1327,1405,,,,,,,,
9/30/23,11:45:00 AM,p8 UNC,1,5,154.486,9215,61156,1.24E-08,1.64E-08,8.49E-09,12.9,7.6,73.8,12.4,0.26,0.95,572,492,689,748,625.25,,,,,,,,
9/30/23,12:06:00 PM,p6 UNC,2,16,24.611,2930,72467,2.08E-07,1.85E-07,2.30E-07,12.3,7.7,82.1,9.7,0.27,0.96,366,315,301,324,326.5,,,,,,,,
9/30/23,12:22:00 PM,p7 UNC,3,9,12.603,3141,72256,1.72E-07,1.39E-07,2.04E-07,10.7,7.6,81.2,7.4,0.25,0.95,294,314,311,318,309.25,,,,,,,,
9/30/23,12:52:00 PM,p9 UNC,3,10,18.774,2722,67648,2.99E-07,4.79E-07,1.18E-07,8.9,7.9,89,6.5,0.02,0.9,159,176,189,129,163.25,,,,,,,,
9/30/23,13:24:00 PM,p14 UNC,3,16,4.133,1689,62203,8.83E-08,8.79E-08,8.86E-08,9.4,8.3,88.2,6.7,0.29,0.9,232,309,424,561,381.5,,,,,,,,
10/31/23,10:30:00 AM,p12 UNC,1,3,154.486,2303,65554,1.70E-08,1.58E-08,1.82E-08,15.4,7.7,77.5,9.9,0.62,1.14,368,381,400,418,391.75,,,,,,,,
10/31/23,10:43:00 AM,p1 UNC,3,9,7.286,12536,57835,2.23E-08,3.14E-08,1.33E-08,15.8,8,84.9,11.1,0.6,1.14,274,270,262,254,265,,,,,,,,
10/31/23,10:54:00 AM,p2 UNC,2,11,4.65,10786,59585,6.24E-09,6.54E-09,5.93E-09,13.1,7.9,80.1,8.9,0.85,1.24,108,122,128,132,122.5,,,,,,,,
10/31/23,11:05:00 AM,p3 UNC,1,6,143.138,8168,64176,1.68E-08,1.90E-08,1.46E-08,11.5,8.3,80.5,8.3,0.63,1.15,100,100,101,102,100.75,,,,,,,,
10/31/23,12:06:00 PM,P4 UNC,2,9,115.136,4920,66706,6.63E-09,6.52E-09,6.75E-09,10.5,8.1,84.2,5.6,0.28,0.97,199,201,202,203,201.25,,,,,,,,
10/31/23,12:16:00 PM,p5 UNC,1,8,138.802,10053,62831,3.29E-09,3.38E-09,3.20E-09,7.5,8,81.6,5,0.79,1.22,281,294,295,290,290,,,,,,,,
10/31/23,12:29:00 PM,p11 UNC,1,3,152.607,9424,65973,2.69E-09,2.94E-09,2.44E-09,9.1,7.7,84.2,6.8,0.22,0.93,280,279,281,279,279.75,,,,,,,,
10/31/23,12:43:00 PM,p9 UNC,3,10,18.774,2722,67648,1.74E-07,2.15E-07,1.33E-07,10.8,7.9,84.3,8.9,0.86,1.25,443,490,512,530,493.75,,,,,,,,
10/31/23,12:53:00 PM,p8 UNC,1,5,154.486,9215,61156,4.56E-09,4.34E-09,4.79E-09,12.9,7,79.7,10.8,0.77,1.21,737,778,757,760,758,,,,,,,,
10/31/23,13:04:00 PM,p6 UNC,2,16,24.611,2930,72467,1.46E-07,1.48E-07,1.43E-07,14.9,8,81.4,12.2,0.61,1.14,615,740,742,749,711.5,,,,,,,,
10/31/23,13:16:00 PM,p7 UNC,3,9,12.603,3141,72256,8.98E-08,9.47E-08,8.50E-08,13.5,7.4,79.5,11.6,0.33,1,633,673,673,694,668.25,,,,,,,,
10/31/23,13:27:00 PM,p14 UNC,3,16,4.133,10681,62203,9.02E-08,9.17E-08,8.87E-08,16.5,7.7,79.9,12.9,0.25,0.95,641,695,687,680,675.75,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
